Building Name,Street Address,City,State,Postal,Country,MSA Name,Latitude,Longitude,Elevation,Serving Wire Center CLLI,Building CLLI,Network Build Status,Building Connection Status,Building Category,NPA,NXX,LATA,Demarc Code,Fiber Ownership,Access Medium,Install Interval,Supplier Name,Access Customer Name,Access Floor,Access Room,Ethernet Handoff Type,Minimum Circuit Level,Minimum Quantity to Accept an Order,Special Construction Cost,Customer Unique Key,CB Building Key,Transaction Indicator,Primary NNI Location,Secondary NNI Location,Primary Number,Street Predirection,Street Name,Street Postdirection,Street Suffix,Secondary Designator,Secondary Number,Extra Secondary Designator,Extra Secondary Number,Plus4 Code,Conformed State,Conformed City,Building Notes,Distance Band,LOS Distance 1 Path,LOS Distance 2 Path,ROW Distance 1 Path,ROW Distance 2 Path,LOS Distance 1 Access Point,LOS Distance 2 Access Point,ROW Distance 1 Access Point,ROW Distance 2 Access Point,Comcast Pricing Zone,Indatel Pricing Zone,CenturyLink Pricing Zone,Sprint Pricing Zone,Verizon Pricing Zone,AT&T Pricing Zone,Building Competitive Rating,AT&T Serving Node CLLI,AT&T Unique Key,Pricing Zone,Pricing Type,Wavelength Handoff Type,Wave Zone,Wave Install Interval,Custom Pricing Zone,County,NPA- NXX,Ethernet Zone,Horizontal Coordinate,Vertical Coordinate,Protection Type,Handoff Pricing,Diversity Type,Tenant Count,Building Sq Footage,Building Floors,Property Type,Address Status,HubName,HubDist
8149 Shin Oak Dr,8149 Shin Oak Dr,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.555028,-98.328028,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"8149",,Shin Oak,,Dr,,,,,,,,,1500+ feet,"1618",,,,Sheath: BB TX-B475 (07A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (07B),1618.42710396325
12834 OConnor Rd,12834 OConnor Rd,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.55527,-98.383,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"12834",,O'Connor,,Rd,,,,,,,,,501 - 1000 feet,"743",,,,Sheath: BB SAT-3 (55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB SAT-3 (55),738.973122930024
14232 Toepperwein Rd,14232 Toepperwein Rd,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.56822,-98.3556,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"14232",,Toepperwein,,Rd,,,,,,,,,501 - 1000 feet,"558",,,,Sheath: BB SAT-3 (55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB SAT-3 (55),546.246643232166
Near The Intersection Of Gordon A Blake Hwy And 3R,Near The Intersection Of Gordon A Blake Hwy And 3R,Universal City,TX,"78148",USA,"San Antonio-New Braunfels, TX",29.542972,-98.291111,,SNANTXUCDS0,,Not Connected,Near Net,Wireless,"210","565","566",,,Fiber,,UPN,,,,,,,,,,N,,,,,Near The Intersection Of,,,,,,,,,,,1001 - 1500 feet,"1127",,,,Sheath: BB TX-B475 (09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (09),1127.15648425991
13900 N Interstate 35,13900 N Interstate 35,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.565756,-98.3337,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"13900",N,Interstate 35,,,,,,,,,,,1001 - 1500 feet,"1075",,,,Sheath: BB TX-B475 (07A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (07A),1073.79967829013
15854 C W Anderson Loop,15854 C W Anderson Loop,San Antonio,TX,"78232",USA,"San Antonio-New Braunfels, TX",29.58301,-98.34474,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,15854C,W,Anderson,,Loop,,,,,,,,,1500+ feet,"1675",,,,Sheath: BB SAT-3 (55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB SAT-3 (55),1673.56030648041
13899 I 35 Access Rd,13899 I 35 Access Rd,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.565889,-98.33425,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,13899I,,35 Access,,Rd,,,,,,,,,1001 - 1500 feet,"1101",,,,Sheath: BB TX-B475 (06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (06),1100.74380896287
10498 Shallow Xing,10498 Shallow Xing,Converse,TX,"78109",USA,"San Antonio-New Braunfels, TX",29.533624,-98.329606,,SNANTXUCDS0,,Not Connected,Near Net,Wireless,"210","565","566",,,Fiber,,UPN,,,,,,,,,,N,,,"10498",,Shallow,,Xing,,,,,,,,,501 - 1000 feet,"722",,,,Sheath: BB TX-B475 (04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (04),722.106016979318
18526 Co Rd 382,18526 Co Rd 382,Cibolo,TX,"78108",USA,"San Antonio-New Braunfels, TX",29.61251,-98.26266,,SNANTXUCDS0,,Not Connected,Near Net,Wireless,"210","565","566",,,Fiber,,UPN,,,,,,,,,,N,,,"18526",,Co,,Rd,,,,,,,,,1500+ feet,"1741",,,,Sheath: BB TX-B475 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (15),1741.38768427643
1357 Pat Booker Rd,1357 Pat Booker Rd,Universal City,TX,"78148",USA,"San Antonio-New Braunfels, TX",29.551944,-98.301667,,SNANTXUCDS0,,Not Connected,Near Net,Wireless,"210","565","566",,,Fiber,,UPN,,,,,,,,,,N,,,"1357",,Pat Booker,,Rd,,,,,,,,,0 - 500 feet,"206",,,,Sheath: BB TX-B475 (09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (09),208.688761290716
11949 Toepperwein Rd,11949 Toepperwein Rd,San Antonio,TX,"78233",USA,"San Antonio-New Braunfels, TX",29.548139,-98.343139,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"11949",,Toepperwein,,Rd,,,,,,,,,0 - 500 feet,"66",,,,Sheath: BB TX-B475 (05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB TX-B475 (05),60.3270162125108
6110 Farm Market,6110 Farm Market,Schertz,TX,"78154",USA,"San Antonio-New Braunfels, TX",29.606389,-98.279722,,SNANTXFRDS0,,Not Connected,Near Net,Wireless,"210","265","566",,,Fiber,,UPN,,,,,,,,,,N,,,"6110",,Farm Market,,,,,,,,,,,1500+ feet,"2187",,,,Sheath: BB SAT-3 (52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheath: BB SAT-3 (52),2181.36659028454
